date,simple_v1,paper_v1,paper_v2
2024-03-25,0.00011600,0.00088400,0.00368400
2024-03-26,-0.00062500,-0.00300200,-0.00492000
2024-03-27,-0.00009900,-0.00153400,-0.00004600
2024-03-28,0.00010100,-0.00956300,-0.00367500
2024-03-29,0.00368500,0.00276500,0.00058900
2024-04-01,-0.00675300,0.00109200,-0.00234900
2024-04-02,0.00633500,0.00463400,-0.00059700
2024-04-03,0.00206700,0.00179300,0.00163100
2024-04-04,-0.00344800,-0.00259500,-0.00094900
2024-04-05,0.00525300,0.00416500,0.00066300
2024-04-08,-0.00206400,-0.00160600,-0.00140900
2024-04-09,0.00341100,0.00330200,0.00353000
2024-04-10,0.00406300,-0.00081500,0.00034400
2024-04-11,0.00524400,0.00085000,-0.00755600
2024-04-12,-0.00052300,0.00021400,-0.00276800
2024-04-15,0.00411700,-0.00396300,0.00078000
2024-04-16,0.00417100,-0.00392400,-0.00029500
2024-04-17,0.00963100,0.00455300,-0.00003900
2024-04-18,0.00213700,-0.00124800,-0.00448200
2024-04-19,0.00456400,-0.00062800,-0.00222200
2024-04-22,0.00208600,0.00222000,-0.00474200
2024-04-23,0.00185000,-0.00165300,0.00023900
2024-04-24,-0.00070300,0.00229800,-0.00383100
2024-04-25,-0.00061200,-0.00423100,-0.00146900
2024-04-26,-0.00236500,-0.00159100,0.00014900
2024-04-30,0.00214700,-0.00155500,-0.00163600
2024-05-01,0.00263400,-0.00072200,0.00124700
2024-05-02,0.00186300,-0.00132400,-0.00053200
2024-05-07,0.00369500,-0.00079800,0.00063700
2024-05-08,0.00099700,0.00085400,0.00079700
2024-05-09,0.00217000,-0.00472000,-0.00383300
2024-05-10,0.00905700,0.00225700,-0.00169600
2024-05-13,0.00207900,-0.00386400,-0.00204100
2024-05-14,0.00220100,-0.00355600,-0.00299700
2024-05-15,-0.00056700,-0.00120700,-0.00425100
2024-05-16,-0.00116500,0.00228200,0.00715000
2024-05-17,0.00118800,0.00319600,0.00064300
2024-05-20,0.01084700,0.00871400,0.00431300
2024-05-21,0.00175100,-0.00296800,0.00003800
2024-05-22,-0.00070500,0.00019900,0.00049400
2024-05-23,0.00134600,0.00344100,0.00041900
2024-05-24,-0.00216400,-0.00008700,-0.00168900
2024-05-27,-0.00078100,0.00240000,-0.00042500
2024-05-28,0.00573100,0.00384400,-0.00032700
2024-05-29,0.00188300,-0.00150400,0.00162500
2024-05-30,0.00413200,0.00164300,-0.00047400
2024-05-31,0.00631200,0.00271500,0.00112600
2024-06-03,-0.00524000,-0.00169400,0.00479800
2024-06-04,0.00711900,0.00229600,0.00481500
2024-06-05,0.00679200,0.00065100,0.00661800
2024-06-06,-0.00044200,-0.00091800,-0.00304800
2024-06-07,0.00479700,-0.00163700,0.00044900
2024-06-10,0.00122400,-0.00034600,-0.00213200
2024-06-11,0.00001100,-0.00050000,0.00213200
2024-06-12,0.00055400,0.00216500,-0.00275300
2024-06-13,0.00442000,0.00056700,-0.00007900
2024-06-14,0.00108500,-0.00352300,-0.00088400
2024-06-17,0.00627400,0.00441900,0.00576500
2024-06-18,0.00257400,0.00128900,-0.00146100
2024-06-19,0.00291000,-0.00162500,0.00223300
2024-06-20,0.00205400,0.00109100,0.00230600
2024-06-21,-0.00476500,-0.00256200,-0.00385400
2024-06-24,0.00185200,0.00077300,-0.00069900
2024-06-25,0.00066500,0.00272800,0.00493900
2024-06-26,-0.00160100,-0.00200200,0.00076800
2024-06-27,-0.00598000,0.00056800,-0.00305200
2024-06-28,0.00310900,-0.00128200,0.00374300
2024-07-01,0.00199200,-0.00336400,0.00251200
2024-07-02,0.00498000,-0.00336100,-0.00246300
2024-07-03,-0.00157600,-0.00120000,-0.00241900
2024-07-04,-0.00132200,0.00023600,0.00241800
2024-07-05,-0.00228400,-0.00446300,-0.00028600
2024-07-08,0.00072500,0.00226300,0.00118200
2024-07-09,0.00766900,0.00205800,0.00036700
2024-07-10,-0.00015500,-0.00206600,-0.00337600
2024-07-11,0.00278400,-0.00247300,0.00363800
2024-07-12,0.00560200,-0.00030400,-0.00699900
2024-07-16,0.00761900,0.00762200,0.00933700
2024-07-17,0.00391000,0.00086200,-0.00284900
2024-07-18,0.00871200,0.00940600,-0.00734500
2024-07-19,-0.00077600,-0.00236500,0.00145200
2024-07-22,0.00370600,0.00228800,0.00689300
2024-07-23,-0.00471200,-0.00104200,0.00184300
2024-07-24,-0.00049900,0.00468800,-0.00203000
2024-07-25,0.00817800,0.00494500,0.01064500
2024-07-26,0.00252600,0.00055800,0.00124600
2024-07-29,-0.00345200,0.00025500,0.00108000
2024-07-30,0.00112100,-0.00001100,0.00133400
2024-07-31,0.00501000,0.00000800,0.00891400
2024-08-01,0.00701000,-0.00187000,-0.00067900
2024-08-02,0.00657500,0.00556100,0.00754200
2024-08-05,-0.01234900,0.00321600,0.01928400
2024-08-06,0.00784400,-0.01187000,-0.00829100
2024-08-07,-0.00374800,-0.00575300,0.00644900
2024-08-08,0.00838600,0.00542200,-0.00204400
2024-08-09,0.00181200,-0.00086400,-0.00003800
2024-08-13,-0.00413000,0.00405000,-0.00186200
2024-08-14,-0.00202900,-0.00065100,-0.00002600
2024-08-15,0.00558100,0.00469200,0.00258900
2024-08-16,0.00021500,0.00037200,0.00261300
2024-08-19,-0.00039400,-0.00474700,0.00428900
2024-08-20,-0.00246100,-0.00281200,0.00521900
2024-08-21,0.00431000,0.00378300,-0.00011300
2024-08-22,0.00302300,-0.00019200,0.00207900
2024-08-23,0.00228600,0.00206800,0.00121400
2024-08-26,0.00589000,0.00122800,-0.00226500
2024-08-27,-0.00176500,0.00024800,-0.00143300
2024-08-28,0.00891100,0.00312800,0.00177800
2024-08-29,-0.00099700,-0.00134000,-0.00013400
2024-08-30,-0.00255300,0.00293700,0.00076000
2024-09-02,0.00280700,-0.00286600,-0.00204800
